Category,SubCategory,Title,OriginalPrice,DiscountedPrice,Discount,SellerName,NumberofRatings,PositiveSellerRatings,ShipOnTime,ChatResponseRate,DeliveryType,ProductToBeSold,SellPercentageToIncrease,Product_ID
"Watches, Bags, Jewellery",Kids Bags,Mickey Mouse bag for girls Small bag Small backpack for girls/ Stylish Backpack For Girls/Casual Backpack - Bag,350,145,59,Relax Mood,1,79,0,85,Standard Delivery,120.69,142,ff16e112-45d9-4602-a9ef-46a5ce6f3c9d
"Watches, Bags, Jewellery",Kids Bags,School Bag Kids Bag For Made in China,900,735,18,Friend Collection,6,87,0,82,Free Delivery,61.22,23,0fae88ac-fa2a-4a38-a4bb-4ecfb164c91c
"Watches, Bags, Jewellery",Kids Bags,Nylon Beauiful Children School Bag For and all ( by Fashion BD 1 ),450,289,36,Fashion BD 1,1,0,0,100,Free Delivery,77.85,56,4f805a03-85ef-4a16-bcfe-655e9dc4555a
"Watches, Bags, Jewellery",Kids Bags,School Bag For Class Six-Ten Navy Blue - Bag For Boys,930,592,36,Malek Tradings,14,86,0,100,Standard Delivery,78.55,58,20a6adbc-e4a6-47cc-ac84-3d54a2ae6a40
"Watches, Bags, Jewellery",Kids Bags,DishyKooker Children Backpack Cartoon Spider-man Printing Cute Zipper School Bag For Boys Girls,1750,1050,40,DishyKooker,0,0,100,88,Free Delivery,83.33,67,e309349c-bd37-45bb-84a4-3a291b692b54
"Watches, Bags, Jewellery",Kids Bags,kids cartoon bag Baby Bag For Girls,280,147,48,Unique Mart (KUS),2,80,0,100,Free Delivery,95.24,91,e7fffc79-f795-4a1b-a5f1-5927f3bf0bfc
"Watches, Bags, Jewellery",Kids Bags,Baby School bagpack newstylish 2023,550,450,18,Fashion Paradox,0,0,0,100,Free Delivery,61.11,23,cbe36736-7fce-4a3f-af7a-06a1c0f4e131
"Watches, Bags, Jewellery",Kids Bags,Kids Cartoon School Bags Custom Children's Bookbags Print Latest Fashion for Teen Girl Nylon Day Backpack 1pc/poly Bag + Carton,1150,730,37,Larkair,0,75,100,100,Free Delivery,78.77,58,85847c0d-2002-4f46-9ad6-5cdc3614c427
"Watches, Bags, Jewellery",Kids Bags,Trendy Cartoon Printed Mickey Mouse Shoulder Bag for Girls Simple Stylish - Fashionable Crossbody Shoulder Bag for Women New Collection - Kid's Shoulder Bag,589,460,22,Blue Shell,9,91,0,100,Free Delivery,64.02,29,52d34333-5e02-4b94-afe4-4858e323acfe
"Watches, Bags, Jewellery",Kids Bags,Factory Direct Sales Primary School Student Schoolbag3DChildren's load reducing schoolbags1-3-6Grade Kindergarten Cartoon Backpack,1683,1177,30,Curerisozei,0,0,100,96,Standard Delivery,71.5,43,9ac0f55d-11a6-4643-b92c-054287cca78f
"Watches, Bags, Jewellery",Kids Bags,"Kids school Cartoon Bags Small (9x8inc), Nursery Kids travel Bags, Baby girls Birthday gift, Cartoon bags",400,276,31,RS Plus,0,87,0,100,Free Delivery,72.46,45,c578e766-55b0-4a70-a128-eaa5a21ab09a
"Watches, Bags, Jewellery",Kids Bags,Kids Girl Cross-body Heart Sequins Bag Purse Coin Handbag Bling Shoulder Bag Creative Cross Bag,294,184,37,hechun store,0,0,100,78,Free Delivery,79.89,60,05b440f0-7a7c-4e59-88ab-05584bdc5499
"Watches, Bags, Jewellery",Kids Bags,Girls Purse for Kids Little Girls Crossbody Shoulder Bag Handbag for Gift(বাচ্চাদের স্টাইলিস ক্রসবডি ব্যাগ),1150,790,31,Ayat Bd Store,0,76,0,100,Free Delivery,72.78,46,ace6483e-e868-472c-b9c2-9d086563e34c
"Watches, Bags, Jewellery",Kids Bags,Yfashion ldren Sling Bag Cute Anime Cartoon Printing Zipper Crossbody Shoulder Bag For Boys Girls color,660,435,34,Yfashion Official Store,1,84,100,99,Free Delivery,75.86,52,5334cf8d-7026-44cb-bd0f-99d11a9c9af5
"Watches, Bags, Jewellery",Kids Bags,Cute Little Mermaid Ariel Princess Backpack Kawaii Children School Bag Preschool Kindergarten Elementary School Backpacks for Girls with LED light,2400,1770,26,Zip It Good,1,84,0,66,Free Delivery,67.8,36,bb1b05f6-e424-454b-90e0-87ce82569187
"Watches, Bags, Jewellery",Kids Bags,Bili Online Kids School Bag,2500,1400,44,Bili Online,19,90,0,89,Free Delivery,89.29,79,e584347a-9b5a-4017-902c-c1b9275e78d4
"Watches, Bags, Jewellery",Kids Bags,Kids Baby Cartoon Penguin Backpack Boys Girls Kindergarten School Rucksack Bag,2432,1337,45,DM bag factory Store,0,82,100,95,Free Delivery,90.95,82,70ac1f8a-aadd-47e2-806c-a640417c9970
"Watches, Bags, Jewellery",Kids Bags,Rechargeable Mobile Phone Short Killer Repair Artifact 2 Generation Burning Machine...,750,656,13,Spectrum Store,0,79,0,45,Standard Delivery,57.16,15,395b3772-57a4-417a-8088-3558846c456d
"Watches, Bags, Jewellery",Kids Bags,Milk 99% White Soothing Gel 300ml 100% ORGINAL,500,500,0,S Shopping Mall,0,84,0,100,Standard Delivery,50,0,82e4816d-0795-494c-ac6b-61757367dba8
"Watches, Bags, Jewellery",Kids Bags,Kid Trolley For Backpack And School Bag Luggage For Children 2/6 Wheels Expandable Rod High Function Trolly Chariot,3200,2100,34,Mina Bag & Trolley,0,0,0,100,Free Delivery,76.19,53,7841d859-b60b-4738-9581-c9faf0ae679b
"Watches, Bags, Jewellery",Kids Bags,"schools bag,for class 5/6/7,and fashion bag",1150,750,35,sp bag Store,0,0,0,0,Free Delivery,76.67,54,fe4ec3da-03cb-411b-81a5-f77900d6123f
"Watches, Bags, Jewellery",Kids Bags,2023New Schoolbag Wholesale Women's Large Capacity Multi-Pocket Waterproof Dream Factory Children's Schoolbag Primary School Junior High School,2200,2200,0,Curerisozei,0,0,100,96,Standard Delivery,50,0,7619aa20-978f-4d57-91be-bb72f8ba4053
"Watches, Bags, Jewellery",Kids Bags,Cartoon Dinosaur Children's Backpack Rabbit Kindergarten Backpack Boys and Girls Bookbag Wholesale Schoolbag for 3-6 Years Old,1960,1799,8,DeceptionDo,0,0,100,75,Standard Delivery,54.47,9,881450f2-3a52-44d9-a6be-b435bc3be0c6
"Watches, Bags, Jewellery",Kids Bags,Kindergarten Cute Mermaid Baby Children School Bag Little Girl Princess Cartoon Toddler Backpack Ba,1100,800,27,Dream's Fashion BD,0,88,0,97,Free Delivery,68.75,38,ae084a22-c888-4b70-8b5d-420a9fb08f04
"Watches, Bags, Jewellery",Kids Bags,Children backpack Neutral Storage bag non-woven drawstring school bag Unicorn Cartoon Backpack Cute Drawstring Bag,363,220,39,Active4U,0,81,100,100,Free Delivery,82.5,65,499abb40-1408-4a02-bc36-58855e5f7c5e
"Watches, Bags, Jewellery",Kids Bags,Elegant Rhombus Crossbody Bags Leather Shoulder Bag Handbag For Baby Girls Podazz,1171,775,34,aFnV7kFC,0,78,100,100,Free Delivery,75.55,52,3946148d-9bfc-4b71-9973-5a80783eb93a
"Watches, Bags, Jewellery",Kids Bags,Zip It Good Baby School Backpack Bag/Kid School Bags/School Bag for Baby Boys & Girls-SIZE 14 INCH,1500,1350,10,Shopping Secrets BD,0,94,0,100,Free Delivery,55.56,12,c6039691-e07d-43e5-97a0-ad6d68b309ac
"Watches, Bags, Jewellery",Kids Bags,Women Fashion Backpack Waterproof Cute Student Schoolbag Lady Laptop Backpack Kawaii Girl College Book bag Travel Backpag,4757,3092,35,ZIME,0,77,100,97,Free Delivery,76.92,54,a377bbca-d8d3-44ec-a74f-23d7115a017a
"Watches, Bags, Jewellery",Kids Bags,David jones Paris backpack for women pack bag back pack bag small packbag bagpack for women shoulder bag,5610,2990,47,David Jones,0,93,100,100,Standard Delivery,93.81,88,b1509305-6bd7-42d2-aefd-7feeac1b3d35
"Watches, Bags, Jewellery",Kids Bags,3D Plush Animal Children Backpacks Girl Boy Toddler Neoprene School Bag Kindergarten Mini Cartoon Schoolbag for Kids Accessories,1650,1480,10,DeceptionDo,0,0,100,75,Standard Delivery,55.74,12,2f4ca903-de09-49db-ad4d-871d5fe00032
"Watches, Bags, Jewellery",Kids Bags,2x Cute Kids Kindergarten School Bag 3D Cartoon Dinosaur Mini Backpack Baby Boy Girl School Bag Red & Blue,1326,866,35,SIXFIX,2,87,100,99,Free Delivery,76.56,54,2a774ad5-6ab0-4a96-8d4b-40c64e087ea3
"Watches, Bags, Jewellery",Kids Bags,Sea Gold School Bag Kids Bag For Made In China,990,686,31,Bag Bazar BD,0,84,0,88,Standard Delivery,72.16,45,685e52d1-5984-4f25-b294-9930be5b01d9
"Watches, Bags, Jewellery",Kids Bags,EB Women Children Cute Carrot Knitting Woven Lanyard Shoulder Bag Chain Handbag Girl Bucket Bag Messenger Bag,480,304,37,Easybuy Store,0,84,100,100,Free Delivery,78.95,58,c5f74ce5-9d86-4043-bf0e-346d4f1d87e7
